ID,RegionName,NVotes,Leave,Residents,Households,MeanAge,AdultMeanAge,Age_0to4,Age_5to7,Age_8to9,Age_10to14,Age_15,Age_16to17,Age_18to19,Age_20to24,Age_25to29,Age_30to44,Age_45to59,Age_60to64,Age_65to74,Age_75to84,Age_85to89,Age_90plus,White,Black,Asian,Indian,Pakistani,Owned,OwnedOutright,SocialRent,PrivateRent,NoQuals,L4Quals_plus,Students,Unemp,UnempRate_EA,HigherOccup,Density,Deprived,MultiDepriv
245,East of England,5315,1397,9425,3804,36.3,42.5,5.4,2.7,1.8,4.6,1.2,2.8,4.9,11.2,10.4,22.9,15.6,3.7,5.8,4.5,1.8,0.9,79.3,3.3,14,3.3,0.6,47.7,19.1,21.1,29.6,15,43.9,16.3,2.4,3.4,49.2,50,54.9,19.8
246,West Midlands,7474,5172,13262,5555,42.3,50.9,5.1,3.4,2.2,6,1.2,2.7,2,4.9,5.1,18.9,20.7,7.3,11.6,6.7,1.4,0.7,95.1,1.8,2.3,1.3,0.1,75,30.5,14.4,9,29.9,20.1,2.3,4.7,6.8,30,17.4,59.2,26.5
247,North West,7826,3614,12454,5330,42.2,50.9,5.1,3.5,2.2,6,1.2,2.9,2,4.8,4.8,19.3,21.6,6.6,10.4,7,1.8,0.9,94.5,1.3,3.3,1,0.6,84.6,31.8,3.3,10.7,17.1,32.3,3.4,2.8,3.9,41.3,30.3,49.2,17.8
248,West Midlands,2212,1558,4303,1752,41.8,49.5,4.5,3.2,1.7,6,1.5,2.1,2.7,5.8,5.3,18.8,21.9,8.1,12.2,5,0.8,0.4,97.3,1,1.4,0.5,0,80.3,33.8,10,8.2,27.2,17.3,2.9,3.4,4.9,26.7,3.9,58.5,26.6
249,North West,5863,3678,15061,7453,36.6,45.2,8.2,3.6,2.1,5.6,1.2,2.2,2.8,8.3,8.1,20.6,19.4,5.5,6.3,4.3,1.1,0.6,92.2,3,4.2,0.3,1.9,35.8,11.6,47.3,13.8,37.7,12.3,3.1,9.6,15,17,29.4,74.7,43.4
250,North West,2670,1504,4744,2059,44.5,51.9,4,2.8,1.8,5.3,1.3,2.3,2,4.1,3.9,18.6,23.2,9.4,12.9,6.4,1.3,0.6,98.8,0.2,0.7,0.2,0,93.3,40.6,0.9,5,16.2,27.2,1.8,2.3,3.3,38.6,4,49.1,17.8
251,London,5939,2800,12370,4021,34.9,42.8,7.2,3.7,2.2,5.8,1.5,2.7,2.6,8.4,10.6,23.9,16.7,4.3,6.2,3.3,0.7,0.4,22.6,7.7,61.8,39.8,8.2,56.9,20.7,14.1,27.2,16.1,33.4,8.8,5,7.2,30.4,63.3,67,29
252,North West,4618,2649,12747,4766,34.4,46.5,10.1,5,3.4,8,1.8,3.5,3.2,6.6,7.7,17,15.4,4.7,6,4.9,1.7,1,88.1,4,4.3,0.8,1.4,54.6,20.3,18,25.5,28.6,22.9,6.1,4.8,7.5,32.8,41.3,62.5,30.4
253,East Midlands,7804,2905,14802,6120,41.6,50.7,5.9,3.8,2.2,5.7,1.3,2.5,2,5.3,4.9,19.9,20.3,6,9.3,7.4,2.4,0.9,73.4,4.3,19.8,7,7.6,79.6,35.3,7.5,12.1,18.2,39.3,5.5,3.4,4.9,46.6,27.4,49.6,19.1
254,East of England,2625,1200,4057,1635,43.2,52.9,3.8,3.6,2.6,7.9,2,2.5,2.1,3.7,2.6,16.8,24.2,8.2,10.8,6.8,1.4,1.1,95.9,0.8,2.5,0.6,0.1,81.2,36,6.9,10.8,13.8,41.6,2.7,2.6,3.7,49.5,1.1,40.9,12.9
255,Yorkshire and The Humber,6854,3710,11355,4929,41.9,50.5,5.6,3,2.2,6,1.3,2.3,1.7,4.9,5,19.6,22.7,7.2,9.6,6,1.8,0.9,97.4,1,1.3,0.5,0.4,81.2,31.3,5.9,12,18.3,30.1,2.3,2.8,3.8,41.3,9.3,48.8,18
256,South East,7326,4565,13888,5627,38.6,48.1,7,3.8,2.4,6.6,1.3,2.7,2.7,6.7,6.1,19.6,19.5,5.7,8,5.3,1.8,0.9,93.1,1.5,4.7,1.7,0.2,65.4,24.1,21.4,11.9,25.1,21.5,3.9,4.3,6,30.3,31.2,59.1,26.6
257,North West,2582,1664,6058,2784,38.5,47,6.3,3.1,2.3,6.3,1.4,2.9,2.6,6.4,6.9,21.1,20.2,6.1,9.1,3.8,1,0.5,98.6,0.3,0.9,0,0,65,21.6,23.4,10.2,27.7,15.1,2,6.1,9.1,20.8,13.6,65.3,36.6
258,London,6501,4199,12580,5200,43.8,52.4,4.6,2.9,2.2,6.3,1.3,2.7,2.3,5.6,4,17.4,20.6,6.6,9.9,10.4,2.4,0.8,94.4,1.5,3.4,1.2,0.2,88.8,39.1,4.1,6.4,22.2,23.3,3,2.7,3.9,39.1,19.7,54,21
259,North West,5630,3684,10249,4507,41,49.8,5.9,3.4,1.9,6.2,1.4,2.5,2.2,6.1,6.1,19.2,18.7,6,11,6.9,1.6,0.8,95.1,2.4,2,0.2,0.6,68.4,26.4,17.4,13.2,31.4,13.8,3,4.6,6.8,23.4,41.5,65.7,31.9
260,West Midlands,6726,5017,15079,6191,37.7,46.8,6.8,4,2.5,6.4,1.5,2.8,2.5,7.2,7.7,20,18.4,5,8.3,4.9,1.3,0.7,81.9,5.4,11.8,2.8,6.7,59.7,24.6,27.2,11.2,36.9,12.2,3.1,7.7,11.6,18.5,29.1,71.5,38.3
261,West Midlands,6343,3652,10917,4976,46.1,53.6,4.5,2.6,1.6,4.6,1.1,2.3,2,4.4,5.3,17.4,20.3,7.3,12.5,9.5,3.1,1.5,82.4,3.4,12.8,8.6,1,78.1,37.9,10.3,9.8,22.7,33.8,3.2,3.8,5.6,42.6,27.2,55.2,21.6
262,North West,2895,1854,5953,2236,35.4,44.9,7,4.9,2.7,7.1,1.6,2.7,2.1,4.9,5,27.5,21.2,4.7,5.1,2.7,0.5,0.3,96,0.7,2.9,0.8,0.6,89.9,19.6,0.5,9.1,13.8,28.1,3.7,2.1,2.6,37.8,23.9,40,12.1
263,East of England,4686,1956,7910,3330,38.7,47.1,6.5,3.7,2,5.6,1.3,2.5,2,5.2,6.6,24.5,20.4,5.7,7.1,4.7,1.5,0.5,82.3,5.6,10,5,0.9,69,22.8,17.3,12.4,17.9,34.8,3.5,4.2,5.5,42.2,23,48.4,18.6
264,West Midlands,9320,5087,24420,10371,36.2,44.5,7.4,3.6,2.2,5.9,1.2,2.5,2.8,8.2,9,22.2,18.3,4.4,6.1,4.4,1.2,0.7,59.9,19.1,19,4.2,9.3,57.3,20,15.1,25.1,28.5,20.6,6.1,7.9,11.4,25.7,53.8,66.5,34.3
265,London,4993,1568,14935,6036,35.4,43.4,7.4,3.5,2.5,6,1.2,2,1.8,7.4,10.7,26.3,16.5,3.9,5.5,3.9,1.1,0.7,56.5,18.1,16.8,3.9,1.9,32.8,12.8,31.8,31.3,16.2,39.4,7.5,5.8,8.1,40.3,89.1,65.8,32.4
266,South East,3366,1238,7030,3038,42.6,51,5.5,3.2,1.9,5.7,1.1,2.3,1.8,4.7,5.8,20.6,21.4,6,8.2,7,2.8,2,94,0.9,3.8,0.8,0.1,70,28.3,11.2,16.8,13.8,43.4,2.4,3.2,4.2,51.6,17.9,44.3,15.4
267,East of England,2433,1322,3252,1236,33.6,43.9,9.6,4.7,3,7,1.6,2.7,2.5,4.5,7.2,26.4,17.4,4.7,5.4,2.6,0.6,0,85.4,7.1,6.5,2.8,1,63.6,14.4,24,9.4,17,22.9,2.6,5.1,6.6,33.4,3.7,52.2,19.9
268,London,5034,1984,14243,5229,31.8,40.4,9,4.4,2.6,6.8,1.5,2.4,2.4,9.2,11.8,24.5,15.1,3,4.4,2.3,0.5,0.3,36.5,30,27.1,3.7,13.7,32.9,11.8,33.4,31.4,21.1,28.5,10.7,7.4,10.9,24.9,71.8,73.3,35.8
269,East of England,3236,2332,7257,2982,36.1,45.7,8,3.7,2.7,6.6,1.4,3.2,2.2,6.3,7.7,22,18.4,4.8,7.6,4.3,0.7,0.3,88.6,7.4,3.1,0.5,0.2,49,13.7,38.6,10.4,27.9,14.7,2.9,6.7,9.4,24.2,51.3,66,29.8
270,North West,4645,2979,10129,4663,38.7,47,6.6,3.3,2,6.1,1.2,2.5,2.6,8,7.2,19.6,20.1,5.8,8.1,4.7,1.5,0.7,94.6,2.2,2.8,0.1,1.4,57.7,19,23.7,16.9,32.6,13.8,3.2,6.9,10.1,21.9,20.8,67.8,36.6
271,East of England,4355,1627,6524,2624,40.6,49.9,5.7,3.2,2.3,7.4,1.4,3,2.1,4.9,5,19.5,22,6.2,7.8,7.5,1.4,0.5,90,2.6,6.4,1.6,1.1,80.3,32.2,9.4,9.3,13.3,40.7,3.9,2.7,3.6,50.5,34.3,45.8,15.7
272,North West,7970,3963,15639,6920,39.8,48.5,6.3,3.4,2.2,5.9,1.4,2.6,2.6,6.4,6.6,18.8,20.6,6.4,8.9,5.7,1.4,0.8,97.1,1,1.6,0.3,0,67.1,25,6.8,25.2,27,18.5,3.6,6.4,9.6,25.2,73,64.8,31.9
273,South East,3773,1806,5881,2014,37.5,49.1,4.7,2.8,2.3,9.6,3.3,8.2,3.7,4,3.8,17.2,20.4,5.6,7.9,4.6,1.3,0.6,94.8,1.4,3.3,0.6,0.2,81.5,29.7,3.3,9.7,13.1,35.2,4.4,2,2.9,51.3,11.6,37.8,10.9
274,South West,5704,3401,8890,3715,43,51.5,5.3,3.1,2.2,5.4,1.4,2.5,2.1,5.1,4.9,18.9,20.5,7.4,10.6,7.2,2.1,1.3,98.4,0.5,0.9,0.1,0,78.8,29.6,10.7,9.3,21.7,23.3,2.8,2.9,4.1,32.6,22.3,55,22.1
275,London,5760,1886,13424,5281,34,43,9.3,4.5,2.5,5.9,1.2,2.2,1.9,6.8,8.7,27.5,16.9,3.5,4.7,3.2,0.9,0.4,49.6,23.7,21.1,2.9,10.7,44.9,13.6,28.1,25.2,20.8,33,6.9,6.7,9.5,34.3,74.7,65.8,32.7
276,South East,3614,2013,5176,2120,43.9,52.5,5.1,3.1,1.9,6.6,0.8,2.1,1.7,3.6,3.7,18.1,23.6,8.1,12.7,6.8,1.4,0.7,97.4,1,1.1,0.4,0,80.3,38.6,6.5,10.7,20.2,30.4,2,2.4,3.5,40.4,1,49.6,17.4
277,North West,4809,2651,12305,5523,35.5,44.3,8.3,4.2,2.2,6.1,1.1,2.4,2.6,8,8.5,22.2,18.1,5.2,6.3,3.4,1,0.5,70.3,2.9,26.3,3.7,15.2,43,15.5,32.8,22.7,33.4,13.6,4.3,7.1,11.2,16.4,29.8,72.9,41.6
278,North West,5718,3465,11154,5040,39.6,48.2,6.8,3.6,2,5.5,1.3,2.4,2.3,6,7.2,20.3,18.9,6,9.8,5.8,1.3,0.6,93.8,2.9,2.8,0.5,0.4,63.7,24.3,21.7,13.5,29.5,16.1,3.1,4.9,7.2,24.7,33.4,63.5,31.3
279,London,5699,1628,13970,5440,33.4,41.3,9.4,4.1,1.9,4.8,0.8,1.9,2.3,8.3,11.4,28.6,14.4,3.3,4.4,3,0.9,0.5,50.1,20,23.8,2.7,12.6,39.1,13.3,25.5,33.1,19,36.4,8.4,7.4,10.3,34.5,130.6,66.4,32.3
280,West Midlands,1300,761,2255,957,44.6,52.6,4.9,2.1,1.8,5.7,1.4,2.7,2.3,4.8,3.4,16.4,23.3,8.8,13.4,7,1.3,0.8,97.1,0.7,1.9,0.8,0,78.5,37.7,12.1,8.3,18.6,35.1,2.9,2.4,3.4,44.5,1.3,46.8,15.5
281,North East,5575,3407,12601,5342,39.5,48.4,6.3,3.6,2.3,6.3,1.1,2.5,2.3,5.3,5.9,21.3,20.9,6.5,8.7,5.1,1.2,0.5,98.2,0.3,1.2,0.6,0.1,69.3,23.5,21.2,9,27,19,3.1,4.9,7.3,26.2,9.2,60.7,29.8
282,East of England,4653,1192,7634,3676,36.1,42.3,8.3,3.2,1.3,2.9,0.5,1,0.9,5.8,13.6,33.5,14.9,3.5,5,3.2,1.2,0.9,87.2,3.2,8,1.8,0.6,55.6,18.6,12.2,30.4,8.5,61.2,3.4,3.4,4.1,63.7,61,41.8,14.8
283,South West,6794,3396,12730,5243,39.6,46.4,4.6,2.5,1.8,5.6,1.2,2.6,3.2,12.1,7.2,18,18.6,5.7,8.2,6,1.5,1.2,95.6,1.2,2.2,0.3,0.1,68,24.7,4.5,26.5,15.1,31.1,12.5,3.3,4.8,39.8,52.7,51.3,18.2
284,London,4301,1169,11496,5466,38.4,44.4,6.2,2.7,1.7,3.8,0.6,1.4,1.1,5.8,11.9,29.7,17.7,4.4,6.4,4.2,1.5,0.8,76.8,5.7,12.4,3.8,1,50,22.9,12.9,35.7,9.9,55.4,4.4,3.4,4.4,59.7,66.6,49.8,19.1
285,London,3779,2115,12381,3946,34.1,42.4,7.8,3.8,2.5,5.9,1.4,2.6,2.7,8.9,11.3,22.9,16.1,4,5.8,3.4,0.7,0.2,26.1,10,59,32.3,11.2,45,17.6,24.7,28.2,20.2,26.2,9.5,5.3,7.8,22.7,46.7,75,35.9
286,London,5353,1399,13997,5561,33.5,40.4,6.3,3.5,2.3,5.9,1,2.3,2.8,9.3,12.4,27.5,14.9,3.2,4.8,2.8,0.6,0.3,54.8,23,14.7,3.2,1.1,26.7,10.6,36.8,32.5,20.8,33.8,11.6,6.8,10,30.5,116.8,73.1,38.6
287,South East,2965,1959,3451,1395,46.5,54.4,3.5,2.2,1.9,5.8,1.8,2.6,2.6,4.7,2.6,15.2,20.6,9.7,15.2,9.1,1.6,0.8,96.3,0.6,2.6,1.8,0,92.1,43.3,1.1,6,21.9,22,2.3,2.7,4.1,36.7,4.7,54.5,16.4
288,North West,6961,4150,14518,6370,37,45.8,7.6,3.7,2.1,6.3,1.3,2.3,2.5,6.7,7.8,21.8,19.7,5.6,7.4,3.9,0.9,0.5,93.3,3.2,2.6,0.3,1,68.2,21.1,13.9,16.2,26.7,17.6,3.4,4.8,6.6,25.7,60.7,61.2,28.9
289,West Midlands,1207,762,2234,891,45.5,53.5,2.7,3.3,2.1,6.4,1.3,2.7,2.2,4.6,2.7,15.9,24.4,7.6,13.8,7.6,1.7,1,96.8,0.7,1.9,0.9,0,71.2,37.5,10.5,16.2,25.2,26.2,2.5,3.2,4.6,38.7,0.5,54.2,19.8
290,East of England,2291,1268,3581,1478,43.5,51.5,4.3,2.6,1.7,6.3,1.3,2.7,1.7,4.6,3,17.8,27.1,8.6,11.5,5.1,1.3,0.4,97.1,0.8,1.5,0.4,0,78.2,32.8,8.3,10.3,18.1,33.2,1.8,2.5,3.5,42,0.4,45.1,16.7
291,North East,4588,2686,9102,4052,42.1,50.5,5.9,3,2.1,5.2,1.3,2.5,2.5,6.2,5.4,17.8,21.5,6.7,9,7.4,2.1,1.2,97.6,0.4,1.6,0.3,0.2,63.2,24.4,27.7,6.5,26.4,21.2,3.8,6.3,9.3,28,33.9,61.3,27.8
292,North East,4965,3181,10579,4890,40.6,48.8,6.2,3.1,2.2,5.5,1.1,2.3,2.3,7,6.7,18.2,21.8,6.2,8.9,6.5,1.4,0.8,98.6,0.6,0.7,0.2,0.1,47.1,18.4,37.6,14.6,38.5,11.6,3,7.6,12.2,16,27.8,73,42.3
293,London,5169,1049,11789,5346,35.7,41.4,6.2,2.7,1.6,3.9,0.7,1.7,1.7,7.3,14.8,30.5,14.9,4.4,5.6,2.9,0.7,0.4,71,8.8,13.6,3.3,0.9,41.7,18,17.1,39.7,9.2,57.8,6.8,4.4,5.8,58.5,120.3,57.9,23.5
294,West Midlands,5346,3984,13830,5152,34.3,45.4,9.3,5,3.4,7.7,1.5,2.9,2.6,6.9,7.4,19.6,17.1,4.6,6.8,3.6,1,0.6,83,6.1,10.1,1.4,5.5,43.5,15.1,40.9,13.9,45.8,9.3,3.5,10.5,17.2,13.2,34.4,77.8,44.2
295,North West,3927,1598,11563,3780,31.8,42.2,9.4,4.9,2.9,8.1,1.6,3.6,3.3,8.5,9.1,21.3,15.3,3,4.5,3.1,1,0.4,24.4,3.8,70.3,1.1,59,58.7,28.7,19.6,17.9,34.1,15.9,8,8.3,15.5,13.4,51.8,80.8,47
296,London,6275,4344,12703,5514,40.6,48.6,5.9,3.2,1.9,5.2,1.3,2.6,2.3,6,6.4,21.3,20,6.4,8.7,6,1.8,0.9,89.9,4.5,4.5,1.7,0.5,73.6,27.5,14.7,10.8,25.8,20.6,3.4,4.8,6.8,31.8,17.2,60.2,26.7
297,Yorkshire and The Humber,5628,3574,12220,5997,39.4,47.1,6.5,3.1,1.8,5.2,1.2,2,2.7,6.7,8.1,21,20,5.7,8.2,5.5,1.4,0.8,94.7,1.4,3.4,1.3,1,58.1,19.9,18.6,21.9,28.4,18,2.9,7,9.8,24.6,18.6,66.3,32.1
298,London,6771,3601,14437,5350,34.3,44.8,8.6,5.1,2.8,7.3,1.7,3.4,2.9,6.8,7.2,21.5,17.3,3.9,6.1,3.7,1.3,0.5,62.1,23.6,7.9,1.3,0.5,51,16.8,27.1,19.7,30.2,17.9,6.3,7.4,11.3,23.2,65.6,72.9,36.6
299,North East,4161,2534,8114,3653,42,48.9,4.6,2.8,1.6,4.7,1.2,2.4,2.6,6.7,6.8,19.5,23.1,5.9,8.5,6.5,2,1.1,94.5,0.8,3.4,0.7,1,74.1,28,9.7,14.8,20.7,26.4,5.7,4.9,7,33.8,59.6,53.9,22.8
300,London,4927,1244,11892,4613,31.4,35.9,4.7,3.4,1.9,3.9,0.5,1.5,10.2,18.8,12.1,20.9,11.5,3.3,3.8,2.5,0.5,0.3,50.8,12.6,30.6,3.7,1.2,14.5,7.5,52.8,29.8,12.1,39.7,37.5,4.9,9.4,43.1,200.1,75,32.4
301,Yorkshire and The Humber,9405,5170,16441,7231,43.9,51.9,4.9,2.8,2.1,5.5,1.1,2.3,1.9,4.4,5,18.8,21.7,7.9,11.3,7.6,1.8,1.1,97.2,0.5,1.8,0.7,0.4,81.2,34.5,4.1,13.3,19.1,31.1,2.4,2.1,2.9,39.2,3.4,48,17.2
302,East of England,2428,959,4866,1962,41.8,51.3,5.7,4,2.5,6.1,1.2,2.7,2,4.3,3.9,20.3,20.5,7.8,9.7,6.3,2.1,1,97.1,0.9,1.7,0.3,0,74.9,28.3,13.9,9.1,17.3,37.7,2.6,2.8,3.7,46.6,2.1,45.5,14.9
303,South East,7581,3326,14805,6035,39.8,49.9,6.4,3.8,2.5,7.4,1.5,3,2.5,5.4,4.9,18.5,20.2,5.9,8.6,6.5,1.9,0.9,87.8,3.5,5.2,0.6,0.5,62.9,24,24.4,11.1,26.7,22,3.5,4,5.8,30.9,21,63.3,29.6
304,North East,4723,3109,8293,3712,41.9,49.9,4.9,2.7,1.7,5.8,1.3,3.1,2.6,6.6,5.7,17.6,22.4,5.9,8.8,8.1,1.9,0.8,98.3,0.4,1,0.2,0,60.2,19.1,33.5,5.7,34.2,12.8,3.1,6.5,9.8,20,37.8,68.4,37.4
305,East of England,5158,1631,7925,3070,35,43.9,7.5,4.3,2.6,6.6,1.3,2.4,1.7,5.6,8.6,27.3,17.7,4.4,5.5,3.3,0.6,0.4,80.7,3.2,13.7,2.4,2.9,73,22.5,7.5,18.4,10.9,48.7,4.7,3,3.8,55.1,63.6,40.4,12.7
306,London,7163,3835,12295,4932,41.9,51.3,5.8,3.4,2.2,6.5,1.3,2.8,2.2,4.8,4.3,17.9,21.8,7.4,9.8,7,1.8,1,84.6,7.2,6.4,2,0.4,80.6,30.6,11.7,6.4,18.2,30.3,3.1,4,5.7,43,16.3,52,18.9
307,London,7644,3617,15856,7028,36.9,44.3,7.9,3,1.9,4.6,0.9,1.8,1.8,6.4,10.6,26.7,17.9,4.6,6,4.5,1,0.6,68.7,13.3,14.9,5.9,1.6,61.8,21.9,8.7,27.6,12,42.1,4.1,4.8,6.2,48,46.1,51,18
308,London,6203,4446,12518,5148,41.3,49.7,5.3,3.1,2.3,6.1,1.2,2.7,2.7,6.3,5.5,18.4,20.8,6.2,9.3,7.6,1.8,0.6,86.3,7.1,5.9,2.3,0.6,76.1,29.6,13.3,9.6,29.6,16.5,3.2,4.6,6.5,27.3,35,64,28.7
309,South East,6878,4496,18720,7731,33.9,40.8,7.7,3.6,1.9,4.5,1,2.2,8.2,13.5,9.7,18.3,13.1,3.8,6.5,4.3,1.1,0.6,81.5,4.7,10.4,1.6,0.3,15.9,5.4,65.7,14.4,31.5,13.4,19.7,7,12.3,19.9,56.7,80.7,45.9
310,London,6399,4140,9992,3926,40.3,49.1,5.7,3.5,2.2,6.4,1.2,2.9,2.2,5.9,4.9,19,22.1,7.9,9.8,5,1,0.5,95.9,1.9,1.6,0.5,0.1,88.5,30.6,4.1,6.2,18.3,23,2.4,3.2,4.2,36.1,12.4,49.6,14.9
311,North West,5871,3870,10649,4636,42.7,50.8,5,2.8,2.1,5.5,1.4,2.5,2.2,5.5,5.4,17.7,21.1,8.3,12.7,6,1.4,0.5,96,1,2.6,0.4,0.5,81.8,34.2,8.5,8.4,23.9,21.9,2.9,3.1,4.6,32.7,22.3,55.9,22.8
312,London,7503,4069,14693,6170,43.5,53,4.5,3.3,2.2,7.2,1.5,3.2,1.9,4.3,3.7,17.7,20.7,6.8,10.7,9.1,2.3,0.9,90.5,1.9,6.4,2.2,0.4,84,37.2,8,7.1,18.1,31,2.8,2.7,3.9,45.1,21.5,50.9,17.1
313,London,6262,1711,12447,5838,36.6,42.7,6.6,3.1,1.5,3.8,0.8,1.3,1.2,4.1,12.7,33.5,17.8,4.5,5.2,2.8,0.6,0.3,82,6.2,7.2,1.6,0.3,53.7,20.2,8.9,35.7,6.4,67,4.4,3.8,4.6,67.2,88.7,45.1,13.7
314,Yorkshire and The Humber,6437,3831,11725,5273,40.1,48.5,5.9,3.9,2.1,5.6,1.2,2.3,2.2,6.2,6.4,20.6,20.1,6.5,9,5.4,1.5,1,93.4,1.3,5,0.6,3.2,66.5,24.7,14.6,17.4,25.2,20.9,2.8,5.4,7.6,28.3,13.7,60.3,27
315,Yorkshire and The Humber,6443,3320,10697,4745,41.5,50.2,5.4,3.2,2.1,6.5,1.3,2.5,2.4,4.7,4,19.4,23.8,7.4,9.5,5.7,1.4,0.6,98,0.7,1,0.2,0.3,76.1,32.1,8.9,13.7,18.9,33.3,3.2,3.6,5,41,2.2,51.2,21.4
316,South West,6942,4498,13083,5478,39.8,49.1,6.9,3.7,2.3,6,1.5,2.4,2.4,5.6,6.6,19.4,18.4,5.8,10.7,6.7,1.1,0.5,97.5,0.4,1.5,0.3,0.1,62.8,22.2,21.7,13.8,27.1,17.8,3,4.1,6.1,25.6,30.1,62.1,27.8
317,East of England,4413,1669,7735,2892,36.7,47.2,8.5,4.8,2.8,6.5,1.2,3,2.2,4.5,5,25.6,18.5,4.6,5,4.6,1.9,1.3,84.2,4,10,1.4,1.1,65.1,20,27.1,7,17.5,41.7,3.7,3.2,4.2,50,37,46.7,19
318,Yorkshire and The Humber,6300,2450,17192,5229,32.9,44.3,8.6,5.4,3.7,9.3,1.7,3.2,3,6.7,8.1,21.2,14.4,4,5.1,3.7,1.3,0.7,35,2.4,60,3.2,49.7,73,24.7,9,16.3,27.9,25.5,7.6,6.6,10.8,26.3,29.8,65.3,30.6
319,East Midlands,6699,4125,13671,5952,40.6,48.8,6,3.4,2,5.6,1.1,2.3,2.8,5.6,6.1,19.5,20.8,7.4,10.3,5.3,1.3,0.6,84.5,9.3,5.4,2.3,1,72,28.2,14.5,12.2,29.7,16.1,3.5,5.7,8.3,24,42.3,62.6,28.7
320,North West,5293,3410,10201,4333,40.2,49,6.6,3.4,2.2,5.7,1.2,2.6,2.5,5.9,6.5,19,19.8,7.1,9.1,5.5,1.9,0.8,87,1.4,10.9,0.4,7.8,70.4,26.1,12.7,15.1,28.9,17.3,3.6,5.3,7.9,24.6,13.7,64.4,31.5
321,North East,4913,3081,11113,4547,38.5,47,6.8,3.4,2.2,5.7,1.5,2.5,2.9,7.1,7,20.3,19.8,5.5,8.1,5.4,1.2,0.6,98.1,0.5,1.3,0.2,0.1,55.6,17,35.5,8.4,34.1,12.7,3.5,7.3,11.1,18,33.2,68,36.8
322,London,4715,1825,12523,4841,41,49.6,6.3,3.5,2.1,5.3,1.2,2.4,1.8,6.1,7.6,20.1,18.2,5.9,8.7,6.8,2.5,1.6,51.6,7.9,36.2,23.7,2.2,65.9,30,9.4,22.3,17.8,40.8,5.4,3.5,5,46.4,22.8,57.6,25.2
323,North West,1915,877,2002,893,44.2,52.2,5.1,2.7,2.6,4.7,1.1,2,1.7,4.1,5.3,17.6,22.5,8.9,12.4,7.1,1.4,0.9,97.5,1.1,1.5,0.5,0.2,88.5,42.3,1,9.4,15.6,38.2,1.6,1.2,1.7,42.7,3.9,46.2,13.7
324,North West,2789,1919,6653,2924,40,48.6,5.5,3.5,2,6.4,1.5,2.7,2.4,6.2,5.7,19.5,20.6,6.8,10.7,4.8,1.1,0.4,97.6,0.4,1.8,0,0.9,71.9,29.4,6.9,20.5,25,20.6,3.8,4.1,6,28.2,6.2,60.3,27.6
325,North West,5323,3182,11513,4907,37.4,46.8,7.7,3.8,2.4,6.5,1.3,2.5,2.6,6.3,6.9,20.9,19.8,5.2,7.6,4.6,1.2,0.6,89.9,1.3,8.2,0.2,0.5,60.6,17.9,25.4,12.6,30.7,15.3,3.5,5.9,8.8,22.6,21.5,65.2,33.7
326,North West,3180,2055,6956,3035,35.4,44.6,7.7,4.2,2.4,6.9,1.5,2.5,2.7,7.2,8.5,22.3,17.1,5.3,6.7,3.7,0.9,0.3,92.2,1.5,5.3,1.1,2.1,57.5,19.3,18.1,22.5,29,16.2,4.1,6.1,8.9,22,53.7,66.2,32.9
327,London,7778,3724,15028,5905,38.9,48.1,6.6,3.7,2.5,6.5,1.3,2.5,1.9,5.3,6.3,21.8,20.8,5.8,7.6,4.9,1.6,0.8,76.8,9.4,11.6,4.3,1.3,75.6,25,11.1,11.5,14.6,36.1,3.4,4.2,5.7,47,23.9,47.6,15.7
328,East Midlands,6559,3936,12942,5294,40,47.4,5.2,2.8,1.9,5.3,1.3,2.4,6.1,8.1,6.4,17.7,20.1,5,6.8,7.8,2.3,0.8,89.8,3.9,5.5,2.3,0.9,69.4,27.5,17.9,11.8,29.6,17,10.3,5,7.3,26.7,28.8,64.2,30.6
329,West Midlands,5424,3195,14023,6090,33.8,41.7,8.5,3.7,2.3,5.1,1,2.7,3.7,10.4,10.1,23,15.6,3.6,5.6,3.4,0.8,0.5,55.5,22,18.3,9.4,0.9,37.4,13.2,42.1,17.8,30.1,17.8,10.4,11,16.5,19.3,38.4,72.3,38.1
330,Yorkshire and The Humber,7829,5609,15414,6593,40.3,48.9,6.1,3.4,2.1,5.8,1.2,3,2.6,6.4,6.2,18.3,20.6,6.5,10.1,5.8,1.4,0.5,98.2,0.8,0.8,0.2,0.2,62.2,23.7,25.7,10.8,40.3,12.7,2.4,5.6,9,19,7.3,71.5,39.8
331,West Midlands,5842,3877,12397,5183,38.2,47.2,7,3.7,2.5,6,1.3,2.6,2.1,6,6.7,21.4,19.6,6.4,9.1,4.2,1,0.4,83.8,1.4,14.2,0.8,12.2,68.7,27.1,17.3,11.5,30.3,15.6,3.3,6,8.8,22.7,38.9,64.2,32.5
332,South East,7575,4834,13823,5477,38.2,47.1,6.1,3.7,2.5,6.5,1.4,3,2.5,6.3,6.6,21,20.5,5.7,7.7,4.8,1.1,0.6,88.9,2.8,7.4,5.4,0.3,72.8,25.8,7.3,18.2,21.2,19.7,3,4.9,6.7,28.4,48.3,57.2,22.4
